app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
1396440,Neon Abyss Soundtrack,2020-09-24,FALSE,FALSE,FALSE,Mostly Positive,75,48,4.99,4.99,0,TRUE
1839660,Crystal Clash,2022-01-14,TRUE,FALSE,FALSE,Very Positive,83,1076,0,0,0,TRUE
1397030,Survive or Thrive,2020-09-07,TRUE,FALSE,FALSE,Very Positive,98,216,1.99,1.99,0,TRUE
1404190,Chess Brain,2020-09-08,TRUE,TRUE,TRUE,Very Positive,90,104,0.59,0.99,40,TRUE
1437810,Vampires' Melody - Listening with you,2020-10-05,TRUE,TRUE,FALSE,Very Positive,85,62,0.99,0.99,0,TRUE
1469690,Drift King,2022-07-27,TRUE,FALSE,FALSE,Very Positive,91,137,19.99,19.99,0,TRUE
1478720,Yakuza 6: The Song of Life - Clan Creator Card Bundle,2021-03-25,TRUE,FALSE,FALSE,Positive,91,24,4.99,4.99,0,TRUE
1479500,Rail of Möbius,2021-08-31,TRUE,FALSE,FALSE,Very Positive,94,243,12.99,12.99,0,TRUE
1497020,Paint Girl - Middle Ages,2020-12-18,TRUE,FALSE,FALSE,Positive,81,38,0.99,0.99,0,TRUE
1501420,Novena Diabolos,2021-11-18,TRUE,TRUE,FALSE,Positive,96,33,15.99,15.99,0,TRUE
1508270,Doctor Who: The Lonely Assassins,2021-03-18,TRUE,FALSE,FALSE,Very Positive,91,511,5.99,5.99,0,TRUE
1511870,末日竟在我身边 - Zombies Everywhere,2021-01-25,TRUE,FALSE,FALSE,Very Positive,84,50,0.99,0.99,0,TRUE
1513510,AudioTheory Piano Keys,2021-09-24,TRUE,TRUE,TRUE,Positive,90,11,6.99,6.99,0,TRUE
1553910,My Friend Stalin,2021-06-18,TRUE,FALSE,FALSE,Very Positive,88,254,0.99,0.99,0,TRUE
1560270,Stubbs the Zombie in Rebel Without a Pulse - Official Soundtrack,2021-03-16,FALSE,FALSE,FALSE,Positive,84,13,9.99,9.99,0,TRUE
1590566,SCARLET NEXUS Bond Enhancement Pack 2,2021-12-14,TRUE,FALSE,FALSE,Positive,90,22,7.99,7.99,0,TRUE
1592110,Spirit of the Island,2022-08-17,TRUE,FALSE,FALSE,Mostly Positive,73,636,24.99,24.99,0,TRUE
1712370,A Day of Maintenance,2022-04-22,TRUE,FALSE,FALSE,Positive,100,15,19.99,19.99,0,TRUE
1723190,Lenny Loosejocks Goes Walkabout,2021-09-16,TRUE,FALSE,FALSE,Positive,100,13,19.99,19.99,0,TRUE
1728660,Rush Rally Origins,2022-04-13,TRUE,FALSE,FALSE,Very Positive,94,119,9.89,14.99,34,TRUE
1803960,Demon Sword: Incubus,2022-06-17,TRUE,FALSE,FALSE,Mostly Positive,75,108,19.99,19.99,0,TRUE
1836780,Tunguska: Ravenwood Stories,2022-06-23,TRUE,FALSE,FALSE,Positive,100,10,4.49,5.99,25,TRUE
1837260,FOR HONOR™ - Pirate Hero,2022-01-27,TRUE,FALSE,FALSE,Mostly Positive,71,106,7.99,7.99,0,TRUE
1879640,甜點王子2 典藏版,2022-05-31,TRUE,FALSE,FALSE,Very Positive,87,108,9.99,9.99,0,TRUE
1930730,The Oracle Land,2022-06-16,TRUE,FALSE,FALSE,Mixed,66,381,0,0,0,TRUE
2061230,Chasm: The Rift,2022-10-10,TRUE,FALSE,FALSE,Very Positive,93,163,19.99,19.99,0,TRUE
2113490,Mess Quest,2022-11-09,TRUE,FALSE,FALSE,Very Positive,98,56,5.99,5.99,0,TRUE
2162780,E.E.R.I.E2,2022-11-05,TRUE,FALSE,FALSE,Very Positive,89,207,6.99,6.99,0,TRUE
2165690,PRO ERA,2022-12-23,TRUE,FALSE,FALSE,Mostly Positive,73,90,29.99,29.99,0,TRUE
2171060,Starway: BaRaider,2023-02-15,TRUE,FALSE,FALSE,Positive,100,10,5.99,5.99,0,TRUE
2172170,Brawlhalla - BCX 2022 Pack,2022-10-26,TRUE,TRUE,FALSE,Positive,95,24,8.99,8.99,0,TRUE
1439490,Witches x Warlocks - Premium Pack,2020-10-31,TRUE,TRUE,TRUE,Positive,87,16,5.99,5.99,0,TRUE
238050,The Apogee Throwback Pack,2013-07-01,TRUE,TRUE,FALSE,Very Positive,92,237,9.99,9.99,0,TRUE
265590,The Red Solstice,2015-07-09,TRUE,FALSE,FALSE,Mostly Positive,74,822,9.99,9.99,0,TRUE
270510,EPOCH,2014-06-05,TRUE,FALSE,FALSE,Mostly Positive,77,95,1.99,1.99,0,TRUE
292780,Pajama Sam 2: Thunder And Lightning Aren't So Frightening,2014-05-01,TRUE,TRUE,TRUE,Very Positive,98,215,6.99,6.99,0,TRUE
302710,BlazeRush,2014-10-28,TRUE,TRUE,TRUE,Very Positive,88,820,9.99,9.99,0,TRUE
304950,Castaway Paradise - live among the animals,2015-05-19,TRUE,TRUE,FALSE,Mostly Positive,71,441,14.99,14.99,0,TRUE
340320,Sinless + OST,2015-12-16,TRUE,TRUE,FALSE,Very Positive,81,149,4.99,4.99,0,TRUE
359650,Star Trek™ : 25th Anniversary,2015-05-07,TRUE,FALSE,FALSE,Very Positive,90,112,9.99,9.99,0,TRUE
1287601,Desperados III: Money for the Vultures - Part 2: Five Steps Ahead,2020-10-06,TRUE,TRUE,TRUE,Positive,91,36,4.99,4.99,0,TRUE
412270,Stories of Bethem: Full Moon,2015-12-11,TRUE,TRUE,TRUE,Very Positive,83,59,4.99,4.99,0,TRUE
415000,Gamer To Game Developer Series 3: Make A Game,2016-03-07,TRUE,FALSE,FALSE,Positive,100,43,24.99,49.99,50,TRUE
443460,Star Sky 2,2016-03-02,TRUE,TRUE,TRUE,Very Positive,82,52,3.99,3.99,0,TRUE
451780,Trillion: God of Destruction,2016-11-07,TRUE,FALSE,FALSE,Mostly Positive,72,329,9.99,9.99,0,TRUE
531180,AIRHEART - Tales of broken Wings,2018-07-23,TRUE,TRUE,FALSE,Mostly Positive,79,109,14.99,14.99,0,TRUE
1253300,Mortal Kombat 11 Spawn,2020-03-24,TRUE,FALSE,FALSE,Very Positive,88,63,2.99,5.99,50,TRUE
544550,Stationeers,2017-12-12,TRUE,FALSE,FALSE,Very Positive,84,4768,34.99,34.99,0,TRUE
548421,PAYDAY 2: Scarface Heist,2016-12-15,TRUE,FALSE,TRUE,Mostly Positive,79,516,2.99,2.99,0,TRUE
552590,The Sexy Brutale,2017-04-11,TRUE,FALSE,FALSE,Very Positive,92,2206,19.99,19.99,0,TRUE
580040,Formata,2017-12-07,TRUE,FALSE,FALSE,Mixed,67,746,9.99,9.99,0,TRUE
583930,Faerie Solitaire Remastered,2017-12-22,TRUE,TRUE,TRUE,Very Positive,87,292,14.99,14.99,0,TRUE
584140,Expansion - Hearts of Iron IV: Death or Dishonor,2017-06-14,TRUE,TRUE,TRUE,Mixed,58,1171,9.99,9.99,0,TRUE
594040,SERIES MAKERS TYCOON,2019-02-22,TRUE,FALSE,FALSE,Mostly Positive,71,466,4.99,4.99,0,TRUE
637050,Spire of Sorcery,2021-10-21,TRUE,FALSE,FALSE,Mixed,54,104,16,20,20,TRUE
681640,World of Contraptions,2022-03-24,TRUE,FALSE,FALSE,Very Positive,90,73,9.99,9.99,0,TRUE
684680,Polygoneer,2017-08-24,TRUE,FALSE,FALSE,Very Positive,86,174,0.99,0.99,0,TRUE
685670,Know by heart,2022-02-10,TRUE,FALSE,FALSE,Very Positive,88,543,19.99,19.99,0,TRUE
691160,Electronauts - VR Music,2018-08-07,TRUE,TRUE,FALSE,Very Positive,92,387,19.99,19.99,0,TRUE
696150,Electro Ride: The Neon Racing,2020-07-11,TRUE,FALSE,FALSE,Very Positive,83,61,12.99,12.99,0,TRUE
725120,ADIOS Amigos: Galactic Explorers,2018-09-12,TRUE,FALSE,FALSE,Very Positive,92,76,14.99,14.99,0,TRUE
735570,Project Rhombus,2017-12-07,TRUE,FALSE,FALSE,Very Positive,92,1378,0.79,0.99,20,TRUE
748490,The Legend of Heroes: Trails of Cold Steel II,2018-02-14,TRUE,FALSE,FALSE,Very Positive,93,2091,39.99,39.99,0,TRUE
2078157,Monster Hunter Rise - 'Lost Code: Asca' Hunter layered weapon (Great Sword),2022-09-28,TRUE,FALSE,FALSE,Mixed,65,29,2.49,2.49,0,TRUE
756500,Noir Chronicles: City of Crime,2018-01-25,TRUE,TRUE,TRUE,Mixed,59,84,14.99,14.99,0,TRUE
773500,Gold Rush: The Game - Frankenstein Machinery,2018-01-18,TRUE,FALSE,FALSE,Mostly Positive,75,119,4.99,4.99,0,TRUE
788210,The Bonfire: Forsaken Lands,2018-03-09,TRUE,TRUE,FALSE,Mostly Positive,73,157,7.99,7.99,0,TRUE
828740,Tales of the Neon Sea,2019-04-29,TRUE,FALSE,FALSE,Very Positive,86,2017,16.99,16.99,0,TRUE
868423,Just Cause™ 4: Golden Gear Pack,2018-12-04,TRUE,FALSE,FALSE,Mostly Positive,76,43,4.99,4.99,0,TRUE
895140,JJBoom,2018-09-12,TRUE,TRUE,FALSE,Very Positive,89,138,4.99,4.99,0,TRUE
896715,Train Simulator: Frankfurt U-Bahn Route Add-On,2019-03-15,TRUE,FALSE,FALSE,Mostly Positive,73,138,39.99,39.99,0,TRUE
915310,SNKRX,2021-05-17,TRUE,FALSE,FALSE,Overwhelmingly Positive,95,3783,2.99,2.99,0,TRUE
920630,Driver Booster Upgrade to Pro(Lifetime),2018-11-01,TRUE,FALSE,FALSE,Mostly Positive,77,231,34.99,34.99,0,TRUE
935580,True Fear: Forsaken Souls Part 2,2018-11-02,TRUE,TRUE,FALSE,Very Positive,92,458,2.49,9.99,75,TRUE
940310,Corpse Party 2: Dead Patient,2019-10-23,TRUE,FALSE,FALSE,Mostly Positive,76,269,9.99,9.99,0,TRUE
965990,Destiny's Sword,2022-10-17,TRUE,FALSE,FALSE,Mixed,61,13,8.99,8.99,0,TRUE
974650,Sins of a Solar Empire: Rebellion - Minor Factions DLC,2018-12-17,TRUE,FALSE,FALSE,Very Positive,93,61,5.99,5.99,0,TRUE
996370,Watch Me Stream My Mental Breakdown,2021-01-19,TRUE,TRUE,TRUE,Mostly Positive,75,16,19.99,19.99,0,TRUE
1009460,Hello Goodbye,2019-04-18,TRUE,FALSE,FALSE,Positive,90,43,29.99,29.99,0,TRUE
1031120,Bakery Simulator,2022-05-03,TRUE,FALSE,FALSE,Mostly Positive,71,571,15.99,15.99,0,TRUE
587470,Chroma Lab,2017-08-22,TRUE,FALSE,FALSE,Very Positive,96,294,4.99,4.99,0,TRUE
1070550,Don't Escape Trilogy,2019-07-29,TRUE,FALSE,FALSE,Very Positive,99,232,4.99,4.99,0,TRUE
1072640,Beat Blast,2021-08-25,TRUE,TRUE,FALSE,Very Positive,91,336,10.99,10.99,0,TRUE
1097200,Twelve Minutes,2021-08-19,TRUE,FALSE,FALSE,Mostly Positive,73,5740,24.99,24.99,0,TRUE
